bookId,title,publicationYear,description,language,reviews,publisherId
1141997,Hunter's Hollow,2012,,English,[],
1520040,"Draw Your Own Fonts: 30 alphabets to scribble, sketch, and make your own!",2017,"Learn how to turn a doodle into a terrific, fully functional font with this easy-to-follow guide to hand lettering and how to do it. With 30 complete alphabets drawn in a variety of styles by a team of designers and illustrators, you too can learn how to create energetic, funky fonts that seem to jump off the screen, the poster, or the page. With tips and demonstrations on how you can copy or adapt the alphabets to make them your own and sections on how to use your fonts online as well as on paper, this is a do-it-yourself book that will appeal to anyone who has ever begun a hand-lettered project – then wondered why it didn’t have the punch of professional work. Let your inner creativity flow and put your personality into a bespoke font designed by you!",English,"[{'reviewiId': 4401269, 'score': 4.0, 'comment': '<p><br /><br /><br /><br />Nice cover on this one. Fabtastic representation of the subject matter. Good composition and eye catching title work as well. <br /><br />Anyone that knows me knows I am a bit of a typography whore. The font folder on my computer is overflowing at this point. So I knew that this book was going to be right up my alley and I was not wrong…<br /><br /> <br /><br />It’s fun and easy to use. Packed full of useful information <b>(ABOUT HAND LETTERING, DEVELOPING A SKILL SET, TRACING &amp; TAMPERING, UNDERSTANDING LETTERFORMS).</b> With fun graphics and fonts ( Including pages where you can practice your own hand lettering. Each font has a bit of extra information <b>(ANATOMY OF THE FONT, KEY FONT DETAILS, NATURAL PARTNERS).</b> It also includes a few chapters on how to use your newly drawn fonts <b>(HOW COMPUTERS HANDLE FONTS, BITMAP VERSUS VECTOR, DRAWING &amp; SCANNING FONTS, DRAWING WITH VECTORS, DIGITIZING YOUR FONTS).</b><br /><br />If you love typography and designing your own fonts, then this book would make a nice little addition to your collection.<br /><br /><br /><br /></p>', 'date': '2017-09-02', 'userId': 19164}]",15748
1035668,Textbook of Natural Medicine,2006,,English,[],
1693414,End of Active Service,2024,"A raw and rampaging debut novel from the author of the “inventive, unsparing, irreverent and consistently entertaining” (NYTBR) memoir Eat the Apple-examining the war after the war for US veterans: returning home. What was it like? It's the only thing anyone wants to know about war-and the last thing Corporal Dean Pusey wants to talk about, at least not with one of these fat and happy civilians crowding the bar. Dean is two months free from the Marine Corps, and life back in his Indiana hometown is anything but peaceful. That's when the woman next to him offers to buy him a drink. Max is nice-gorgeous, funny, easy to talk to. Dean doesn't dare tell her about the sheep he took care of on his first deployment, only to watch it get torn to shreds by a pack of wild dogs; or the naked, shivering Iraqi teenager his platoon detained after an IED blast. He needs to leave all that behind and become a new person-the kind who sticks around when Max gets pregnant. He's white-knuckling it, trying to keep calm, and it's not easy. Harder still when his friend and comrade Ruiz starts showing up all over the place like he's been invited-like he didn't die a year ago. He has Max now, he has his baby daughter, River. He doesn't have time for ghosts. With his signature black humor, hard-eyed honesty, and stylistic ingenuity, Matt Young delivers a novel that turns the typical war story on its head-beginning not with enlistment but with retirement, and locating the life-or-death stakes not in battle, but in the domestic theaters of fatherhood, family, forgiveness, and love.",English,[],46102
1494238,"Five Miles Away, A World Apart: One City, Two Schools, and the Story of Educational Opportunity in Modern America",2010,"How is it that, half a century after Brown v. Board of Education, educational opportunities remain so unequal for black and white students, not to mention poor and wealthy ones?In his important new book, Five Miles Away, A World Apart, James E. Ryan answers this question by tracing the fortunes of two schools in Richmond, Virginia--one in the city and the other in the suburbs. Ryan shows how court rulings in the 1970s, limiting the scope of desegregation, laid the groundwork for the sharp disparities between urban and suburban public schools that persist to this day. The Supreme Court, in accord with the wishes of the Nixon administration, allowed the suburbs to lock nonresidents out of their school systems. City schools, whose student bodies were becoming increasingly poor and black, simply received more funding, a measure that has proven largely ineffective, while the independence (and superiority) of suburban schools remained sacrosanct. Weaving together court opinions, social science research, and compelling interviews with students, teachers, and principals, Ryan explains why all the major education reforms since the 1970s--including school finance litigation, school choice, and the No Child Left Behind Act--have failed to bridge the gap between urban and suburban schools and have unintentionally entrenched segregation by race and class. As long as that segregation continues, Ryan forcefully argues, so too will educational inequality. Ryan closes by suggesting innovative ways to promote school integration, which would take advantage of unprecedented demographic shifts and an embrace of diversity among young adults.Exhaustively researched and elegantly written by one of the nation's leading education law scholars, Five Miles Away, A World Apart ties together, like no other book, a half-century's worth of education law and politics into a coherent, if disturbing, whole. It will be of interest to anyone who has ever wondered why our schools are so unequal and whether there is anything to be done about it.",English,[],107
538699,A More Perfect Union,2017,"The thrilling conclusion to the #1 national bestselling historical trilogy by Roberta Rich. In The Midwife of Venice, set in 1575, Hannah Levi was forced to flee Venice with the baby of a Venetian aristocratic family whom she rescued. Roberta Rich followed that action-packed adventure with The Harem Midwife, which exiled Hannah and her beloved husband Isaac to Constantinople--only for Hannah to become enmeshed in the shady politics of a sultan's harem. And now, with A Trial in Venice, set five years later, Hannah is forced back to Venice--both to opulent yet crumbling villas and the Jewish ghetto known as Veneto. Her beloved adopted son Matteo has been kidnapped and is in danger once more. And this time, so is Hannah. A rollicking and evocative read, peopled with beguiling, unforgettable characters (including the epic return of the troublesome and winsome Foscari and Cesca), this novel is a breathtaking follow up to The Midwife of Venice and The Harem Midwife, certain to shock and delight fans of the series and solidify Rich's reputation as one of Canada's most loved historical fiction authors.",English,[],2059
1142001,Revenant Syndrome,2012,,English,[],
1142002,The Witches of Jericho,2013,,English,[],
1142004,Act of God,2012,,English,"[{'reviewiId': 1706880, 'score': 3.0, 'comment': None, 'date': '2015-05-24', 'userId': 7178}]",
1140151,Friend of the Devil,2022,,English,"[{'reviewiId': 4220062, 'score': 4.5, 'comment': None, 'date': '2024-03-06', 'userId': 18296}]",
